LShoulderRoll
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
RShoulderRoll
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Angles,-0.20602881146535057,0.034178868524092326,-0.20272979776218802,0.03833608522981439,0.038347602468958436,0.03740400348276227,0.0369653046401231,0.037480346482124456,0.03748538735660874,0.036986919360591945,-0.22637030772375694,-0.27106935440870017,-0.3905094324836118,-0.5542853411889965,-0.7937979584310569,-1.0401234114573197,-1.1242370279616698,-1.136150717409086,-1.0119600452789295,-0.997685898533639,-0.9494370410053439,-0.9584809768909636,-0.9459971644615486,-0.9347420111339886,-0.9182689949203452,-0.9040843656012107,-0.8977100697790921,-0.9262466783521763,-0.9640651182596724,-0.9660779529939069,-0.9799427306714956,-1.0123787638116206,-1.0024619561420287,-1.002441552314842,-0.9946593129376538,-0.9346682914882831,-0.9302224270229448,-0.9210851255874047,-0.9079849513136309,-0.9174331877404411,-0.9138212106175545,-0.9266625589970551,-0.910617148257084,-0.8994484262331572,-0.8932663367100794,-0.8890340537423256,-0.7908380653432849,-0.6044194801006857,-0.4396899212052653,-0.2983192135856862,-0.20030572839273678,0.08107919476707166,0.07391269682372105,0.06880031716933749,-0.18337366573161262,-0.20890212740644956,-0.2152074838087094,-0.22762757350919982,-0.23120577770537376,-0.23298872312466654,-0.2305897746566373,-0.22748738309726327,-0.22095431954323475,-0.22184350732393138,-0.22046690487255083
Sensors,-0.13321644067764282,-0.1442185342311859,-0.13993975520133972,-0.14318189024925232,-0.09352155029773712,-0.05043865367770195,-0.03416690602898598,-0.023664042353630066,-0.015283805318176746,-0.01251406129449606,-0.07703075557947159,-0.15083953738212585,-0.219694584608078,-0.3107432425022125,-0.4283348321914673,-0.5921728610992432,-0.7787375450134277,-0.8987356424331665,-0.9696656465530396,-0.9873644113540649,-0.9727746844291687,-0.9650874137878418,-0.9593007564544678,-0.9509801268577576,-0.9349119067192078,-0.9244776368141174,-0.914333701133728,-0.9141606688499451,-0.9300176501274109,-0.9448823928833008,-0.9601011276245117,-0.9762668609619141,-0.9923376441001892,-0.9966092705726624,-0.9972050786018372,-0.9704366326332092,-0.9542611241340637,-0.9369152784347534,-0.9270845651626587,-0.9212844967842102,-0.918790876865387,-0.9214269518852234,-0.9175866842269897,-0.9119622707366943,-0.9051927328109741,-0.8991392850875854,-0.8713037967681885,-0.7637903690338135,-0.6367045044898987,-0.5567044615745544,-0.4767044484615326,-0.3265792727470398,-0.2065790593624115,-0.13431045413017273,-0.1133853867650032,-0.14907526969909668,-0.1853029578924179,-0.20091545581817627,-0.2174130380153656,-0.22590422630310059,-0.22832097113132477,-0.2285347431898117,-0.22518758475780487,-0.22361285984516144,-0.22253510355949402
No Sens,-0.14596283435821533,-0.12465335428714752,-0.15500935912132263,-0.11559295654296875,-0.07586430013179779,-0.04139871150255203,-0.028381114825606346,-0.02007906697690487,-0.013710087165236473,-0.01160508207976818,-0.11287224292755127,-0.17969469726085663,-0.25969457626342773,-0.35074323415756226,-0.46833479404449463,-0.6843540668487549,-0.8187369704246521,-0.9387356638908386,-0.9798163175582886,-0.9898415803909302,-0.9671736359596252,-0.9635018706321716,-0.9561079144477844,-0.9470829963684082,-0.9309176206588745,-0.919583261013031,-0.9103440046310425,-0.9170613288879395,-0.9381890296936035,-0.9499692916870117,-0.964863121509552,-0.9849337339401245,-0.9947674870491028,-0.9980090260505676,-0.9965940713882446,-0.9618522524833679,-0.9484918713569641,-0.9331160187721252,-0.9225006699562073,-0.9203602075576782,-0.9175981879234314,-0.9226834774017334,-0.915913999080658,-0.9089589715003967,-0.9023303985595703,-0.8967140316963196,-0.8373150825500488,-0.725541353225708,-0.5967044830322266,-0.5167044401168823,-0.43670445680618286,-0.28657904267311096,-0.16657906770706177,-0.1188596785068512,-0.13018257915973663,-0.1634337157011032,-0.19248004257678986,-0.20732636749744415,-0.22072330117225647,-0.22760450839996338,-0.22886548936367035,-0.2282833755016327,-0.22417159378528595,-0.22318822145462036,-0.22203873097896576

RElbowRoll
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Angles,0.05431011461775969,0.19936392308442846,0.23822580099413485,0.2609944050032023,0.2695727750432574,0.2766144299988036,0.27008754548323904,0.26143064814825284,0.25802808986304115,0.2515464295342453,0.30639973062338843,0.6529692246494363,0.7111929523496757,0.8852051998565643,0.8195502207374095,0.7381194754260653,0.7395351908497367,0.7696489787959252,0.8918949316433693,1.0638001882956694,1.3228541416542523,1.56,1.56,1.56,1.56,1.56,1.56,1.5063375897784508,1.0852892696181553,0.7993489905054918,0.7292175469494805,0.7198593385775287,0.7886664233485702,0.8865101261221755,1.0948230430213883,1.5272399007852653,1.56,1.56,1.56,1.56,1.56,1.56,1.424042299345507,1.1377420429335454,0.8421706824057302,0.5929237443858565,0.3985425608472295,0.3492724558281452,0.273590023016294,0.13403838334015827,0.009938632596836285,0.14147069153800604,0.16229448007262479,0.13713048888815035,0.022671214976453927,0.16800979568262464,0.21758947091648365,0.2357994941837607,0.2756379165144161,0.19964044117531188,0.2988544758392749,0.27338498906621933,0.2508373793308162,0.10957683623882622,0.05157960773119737
Sensors,0.2626611590385437,0.18667025864124298,0.21065282821655273,0.22776411473751068,0.2438593953847885,0.26125961542129517,0.26617902517318726,0.2657523453235626,0.2618905305862427,0.25870344042778015,0.2778582274913788,0.30291053652763367,0.40584760904312134,0.5498644709587097,0.6298639178276062,0.7135480046272278,0.724266767501831,0.7455527782440186,0.8107080459594727,0.9056301712989807,1.0526717901229858,1.1763731241226196,1.2563729286193848,1.3363733291625977,1.4444794654846191,1.4880685806274414,1.5159662961959839,1.5211938619613647,1.4970698356628418,1.3776180744171143,1.1260356903076172,1.0000889301300049,0.8885471224784851,0.8698400259017944,0.9018790125846863,1.0706967115402222,1.2040514945983887,1.3240506649017334,1.404051423072815,1.4621937274932861,1.4994049072265625,1.5316890478134155,1.4901436567306519,1.4444081783294678,1.3174505233764648,1.1552839279174805,0.9732033014297485,0.6506475806236267,0.5306479334831238,0.45064690709114075,0.3706459403038025,0.25484442710876465,0.2000350058078766,0.1780540496110916,0.13691650331020355,0.12436345219612122,0.1697925478219986,0.19435237348079681,0.23443296551704407,0.2254486083984375,0.23835860192775726,0.2577993869781494,0.25701919198036194,0.2205054759979248,0.15972988307476044
No Sens,0.22266174852848053,0.19048865139484406,0.21727034449577332,0.23573938012123108,0.25003060698509216,0.26494476199150085,0.26711708307266235,0.26471513509750366,0.2609635591506958,0.25698575377464294,0.2847082018852234,0.34533628821372986,0.4716568887233734,0.5898638367652893,0.6698639392852783,0.7194451689720154,0.7279312014579773,0.751335859298706,0.8301929235458374,0.9435909986495972,1.0926718711853027,1.2163734436035156,1.2963736057281494,1.376373052597046,1.4686959981918335,1.5035669803619385,1.5258852243423462,1.5176283121109009,1.4487682580947876,1.295695424079895,1.0400886535644531,0.9600884318351746,0.8645757436752319,0.873840868473053,0.9418794512748718,1.1640514135360718,1.2440510988235474,1.3640506267547607,1.436353087425232,1.4828667640686035,1.512635588645935,1.5384836196899414,1.4742792844772339,1.388622522354126,1.2389063835144043,1.0663343667984009,0.783216655254364,0.610647439956665,0.49064794182777405,0.410646915435791,0.33064571022987366,0.2276347279548645,0.1909772753715515,0.16983662545681,0.11058039963245392,0.13483858108520508,0.18126380443572998,0.2042996883392334,0.24432215094566345,0.21925464272499084,0.2528776228427887,0.26153993606567383,0.2555355727672577,0.19388259947299957,0.1337738186120987

HeadYaw
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Angles,0.002216702382391064,-0.0007008318674584929,-0.007063318504474891,-0.012341038643480268,-0.01237328691308362,-0.00973120975173436,-0.00850285299234467,-0.009944970149948468,-0.009959084598504461,-0.008563374209657429,0.010515612027059973,0.013844990195945713,0.011584022291371038,0.006882312517430385,0.0063048842036513494,0.0035425894885468406,-0.03241052696124448,0.08317059682065156,0.03874591038189476,0.0159272294403332,0.010299825969758702,0.00982749064342961,0.003116776336182875,-0.010894192306636269,-0.03651778865029931,-0.044751836125006605,-0.03235674681620082,-0.020189608806609693,-0.0033486057914324796,-0.012913771523021422,0.004497786445971708,0.014176117519978049,0.0031993986542858677,-0.0029691956416078025,-0.011125506507677962,-0.014999467290258195,-0.013941223596655894,-0.018821398274547207,-0.039780378027360175,-0.03867320845015615,-0.04940445859435688,-0.007975630653842491,-0.018091721103623504,-0.04191230566531018,-0.038918790489638366,0.0105173366850978,0.046071287047733056,0.09474482297078307,0.20009385975110486,0.23605131001253926,0.24193086066561947,0.24859477743370223,0.23315220889552798,0.17852199646122102,0.120707157351955,-0.06215886069255597,-0.05047839511157855,-0.03777052962152705,-0.03414504585046964,-0.029467230911292816,-0.022173763583570108,-0.01087683797927358,-0.005603994285189456,0.004824713071098483,0.016631134695226514
Sensors,0.014521948993206024,0.0069179898127913475,-4.3865758925676346e-05,-0.004275535233318806,-0.007690142840147018,-0.00920148566365242,-0.00913043599575758,-0.009211452677845955,-0.00962893571704626,-0.00943342037498951,-0.0008863410912454128,0.004728894680738449,0.008036901243031025,0.008406794629991055,0.007624270860105753,0.0062211123295128345,-0.0035390439443290234,0.0290848296135664,0.040663253515958786,0.029948968440294266,0.01970542222261429,0.01561913825571537,0.011562175117433071,0.004632206633687019,-0.014901881106197834,-0.026008611544966698,-0.03095092810690403,-0.028624633327126503,-0.019850540906190872,-0.01517576351761818,-0.009727958589792252,-0.0013962038792669773,0.002703676000237465,0.001432606833986938,-0.0023842286318540573,-0.008924654684960842,-0.011236676946282387,-0.0148153780028224,-0.021537676453590393,-0.02897767163813114,-0.035648565739393234,-0.025866413488984108,-0.02010229229927063,-0.02496996708214283,-0.03140796720981598,-0.022715868428349495,-0.0001452164724469185,0.05121215432882309,0.12013445794582367,0.16253910958766937,0.1950017511844635,0.222929447889328,0.2308053821325302,0.21868541836738586,0.18784482777118683,0.0003924518823623657,-0.0297665074467659,-0.03546531870961189,-0.03522719070315361,-0.03264417499303818,-0.029551802203059196,-0.023724056780338287,-0.014289208687841892,-0.008117685094475746,0.00018272455781698227
No Sens,0.011568413116037846,0.005089472979307175,-0.0017285342328250408,-0.006211255677044392,-0.008814097382128239,-0.009328619576990604,-0.008979815989732742,-0.00938749685883522,-0.009708171710371971,-0.009224609471857548,0.001850127475336194,0.006916757673025131,0.00888821016997099,0.008040918968617916,0.007307617925107479,0.0055782669223845005,-0.010468199849128723,0.04206541180610657,0.04020309075713158,0.026583751663565636,0.017448078840970993,0.014229143038392067,0.009535280056297779,0.0009058709256350994,-0.02008969709277153,-0.030506985262036324,-0.031288325786590576,-0.026600226759910583,-0.015890076756477356,-0.014220298267900944,-0.006313779391348362,0.002341153100132942,0.002822649432346225,0.0003761743428185582,-0.00448213517665863,-0.010382609441876411,-0.011885767802596092,-0.015776822343468666,-0.025915924459695816,-0.031304601579904556,-0.03894997760653496,-0.021572625264525414,-0.019619755446910858,-0.029036128893494606,-0.03321056440472603,-0.014739899896085262,0.019376635551452637,0.06165999174118042,0.13932472467422485,0.18018203973770142,0.2148246020078659,0.22908912599086761,0.23136861622333527,0.20904619991779327,0.17173178493976593,-0.014619861729443073,-0.03473735973238945,-0.03601856902241707,-0.03496747463941574,-0.03188170865178108,-0.02778107300400734,-0.020640723407268524,-0.012204756960272789,-0.005011510103940964,0.00413034250959754

HeadPitch
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Angles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensors,-0.2602115273475647,0.01268564723432064,0.00556869525462389,0.003216478042304516,0.0018578378949314356,0.0008155462564900517,0.00047105958219617605,0.0002720840275287628,0.0001194383658003062,6.898760329931974e-05,3.0283903470262885e-05,1.749198418110609e-05,1.0103370186698157e-05,5.835707270307466e-06,3.370704916960676e-06,1.4796587493037805e-06,8.546509207008057e-07,3.7517128248509835e-07,1.6469118691020412e-07,7.229549225939991e-08,3.173598983607917e-08,1.83307093948315e-08,1.0587817733664906e-08,6.115524087135782e-09,2.684568567445922e-09,1.5506068651305327e-09,8.956305697083167e-10,5.173162453964153e-10,2.270894305933524e-10,1.3116685515512927e-10,5.757910467862892e-11,3.3257691739452255e-11,1.4599330425135726e-11,8.432573216088368e-12,4.870654227162596e-12,2.13810046056917e-12,1.2349669897826487e-12,5.421209271425087e-13,3.131290528517877e-13,1.808633538075144e-13,1.0446668080284563e-13,4.58583705406114e-14,2.013072732598084e-14,1.1627509258161847e-14,6.716049699879989e-15,3.879190246341936e-15,2.2406202564715424e-15,7.475197579021617e-16,3.281432372140557e-16,1.8953553334897046e-16,1.0947572617994771e-16,4.805721497330568e-17,2.1095962701937964e-17,1.218502885867369e-17,7.038072859352336e-18,4.065191528101043e-18,1.7845216100088776e-18,1.030739628339824e-18,4.524700181144024e-19,1.9862351341502799e-19,1.1472493617864134e-19,6.62651222165448e-20,2.908879821092743e-20,1.6801690986589964e-20,9.704657429882581e-21
No Sens,-0.10043981671333313,0.009641092270612717,0.004232208244502544,0.002444523386657238,0.0014119568513706326,0.0006198151968419552,0.00035800528712570667,0.000206783864996396,9.077315917238593e-05,5.2430579671636224e-05,2.3015767510514706e-05,1.3293907613842748e-05,7.678561814827845e-06,4.435137725522509e-06,2.5617359824536834e-06,1.1245406312809791e-06,6.495347406598739e-07,2.8513017014120123e-07,1.2516531455730728e-07,5.494457511190376e-08,2.4119353625451367e-08,1.3931338749273436e-08,8.046741939438107e-09,4.6477985904402885e-09,2.04027217343139e-09,1.1784612174992048e-09,6.806792351987667e-10,3.9316033761949143e-10,1.7258797169183993e-10,7.576198002290369e-11,4.376012052720313e-11,2.5275845652594775e-11,1.1095490845547396e-11,6.408755904435681e-12,3.701697368768686e-12,1.6249564627895952e-12,9.385749556029e-13,4.1201189595468923e-13,2.379780942619869e-13,1.374561543147218e-13,7.939468174697137e-14,3.485236323716792e-14,1.5299353038795982e-14,8.836907544422772e-15,5.104197670264838e-15,2.9481845702792123e-15,1.294182275384556e-15,5.681150033001487e-16,2.4938886663542945e-16,1.4404700534521755e-16,6.323318003446086e-17,3.6523481659176644e-17,1.603293244756624e-17,9.260621965679229e-18,5.348935720523633e-18,3.0895456440748538e-18,1.3562364401503592e-18,7.833621154703147e-19,3.4387723031055806e-19,1.5095387019542127e-19,8.719094994480377e-20,5.0361495728007407e-20,2.210748754503364e-20,1.2769285666796256e-20,7.375539775957732e-21

LShoulderPitch
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Angles,1.4202768453888863,1.4109124837349656,1.4075443220252577,1.3995848570594183,1.3957932330703806,1.3531961084175568,1.3227924249856018,1.316423657709648,1.3188001097080393,1.3214072024986097,1.3310201569031173,1.3408552812193335,1.3417735439994571,1.3480978922806852,1.3289394131839574,1.3294620696570567,1.3160449473107496,1.3196663853023978,1.3172982503670687,1.3337007500144753,1.335575259908593,1.3342589311914883,1.3469956098086913,1.3510453950682393,1.3606578535335647,1.361462071933771,1.3608268383060498,1.3603404847141776,1.3605029185835666,1.3593084580195434,1.3618830451041277,1.3621530704668114,1.363207772787712,1.360607253746311,1.3617568829331437,1.3609885981066547,1.3615599389772763,1.3626163243756877,1.3637765614765218,1.3649178360173593,1.3684869870598009,1.3737313938622395,1.376841348282771,1.3768112659740555,1.3782967541278615,1.3760934146711923,1.3650331946334904,1.3633532545184912,1.3636443938613751,1.3728625223202429,1.3688055730463287,1.3601647895608278,1.3682419420400938,1.391617350555865,1.406601944589752,1.4199943887072017,1.4206590701432444,1.422080881919644,1.4225646479815015,1.4214400619974938,1.4096741216903566,1.3886480929091232,1.378368713362125,1.3684637087866458,1.3736379792753175
Sensors,1.6593871116638184,1.559804916381836,1.49075186252594,1.460214376449585,1.4386794567108154,1.3982442617416382,1.37191903591156,1.3496394157409668,1.3320084810256958,1.3270549774169922,1.3279470205307007,1.3316055536270142,1.3357330560684204,1.3398023843765259,1.3387084007263184,1.3333531618118286,1.3284894227981567,1.3230375051498413,1.3201459646224976,1.3254767656326294,1.3308824300765991,1.33254873752594,1.3363279104232788,1.3418059349060059,1.351049780845642,1.3553012609481812,1.3577511310577393,1.3589335680007935,1.3597618341445923,1.359788179397583,1.3601369857788086,1.3609392642974854,1.3620657920837402,1.3619240522384644,1.3616437911987305,1.3613827228546143,1.3613533973693848,1.3619154691696167,1.362489938735962,1.363307237625122,1.3648442029953003,1.3691030740737915,1.3730132579803467,1.3746230602264404,1.375903844833374,1.3763858079910278,1.3715498447418213,1.3671842813491821,1.365157961845398,1.36673104763031,1.3683472871780396,1.3665306568145752,1.3513245582580566,1.3484816551208496,1.3532931804656982,1.371830701828003,1.3839244842529297,1.3860435485839844,1.3921390771865845,1.3976702690124512,1.4011174440383911,1.3996856212615967,1.3891513347625732,1.3822195529937744,1.3776509761810303
No Sens,1.62850821018219,1.5330142974853516,1.4747782945632935,1.4481046199798584,1.4311879873275757,1.3874326944351196,1.36012864112854,1.341667652130127,1.3288384675979614,1.3256995677947998,1.3286845684051514,1.3338254690170288,1.3371827602386475,1.3417932987213135,1.3363637924194336,1.3324192762374878,1.3255027532577515,1.3222284317016602,1.319462537765503,1.3274505138397217,1.332008719444275,1.3329591751098633,1.338888168334961,1.34402334690094,1.3533557653427124,1.3567798137664795,1.3584892749786377,1.3592711687088013,1.359939694404602,1.3595855236053467,1.3605560064315796,1.3612306118011475,1.3623398542404175,1.3616080284118652,1.361670970916748,1.3612881898880005,1.361402988433838,1.3620836734771729,1.3627986907958984,1.3636938333511353,1.3657184839248657,1.3702138662338257,1.3739320039749146,1.3751481771469116,1.3764781951904297,1.3763155937194824,1.369985818862915,1.366264820098877,1.3647947311401367,1.368202567100525,1.36854088306427,1.3650028705596924,1.347470760345459,1.3498060703277588,1.3566211462020874,1.383389949798584,1.384745717048645,1.387388825416565,1.3938099145889282,1.3996015787124634,1.4031710624694824,1.3970366716384888,1.3865635395050049,1.378918170928955,1.3766878843307495

RShoulderPitch
T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
