LShoulderRoll,LElbowRoll,RShoulderRoll,RElbowRoll,HeadYaw,HeadPitch,LShoulderPitch,RShoulderPitch,LElbowYaw,RElbowYaw,HipRoll,HipPitch
0.004689854016580962,-0.20681500152548554,-0.2838902983174895,0.321459561937889,-0.11185779100799037,0.0,1.3964511458817586,1.286906028477407,-1.5707963267948966,1.5707963267948966,-0.0053101459834190385,0.0
0.01,-0.28177214771554787,0.021830895842776615,0.2955034624385275,0.03387349164022548,-0.0,1.4031783513515164,1.287007473577796,-1.5707963267948966,1.5707963267948966,0.011830895842776617,0.0
0.01,-0.33118728367653516,0.03300315711106073,0.28692363194122433,0.002591160089029973,-0.0,1.4057042331468472,1.2873030918225536,-1.5707963267948966,1.5707963267948966,0.023003157111060726,0.0
0.01,-0.377516689535178,0.028026253252356796,0.34678929616965637,0.016526490893400983,-0.0,1.406153261073753,1.309541977757012,-1.5707963267948966,1.5707963267948966,0.018026253252356794,-0.0
0.01,-0.40718371723148605,0.026752728522882692,0.30125273432538857,0.020092360135928466,-0.0,1.4120054315290615,1.3069596722261902,-1.5707963267948966,1.5707963267948966,0.016752728522882693,-0.0
0.01,-0.40858291658150353,0.02692456108596268,0.297398023765143,0.019611228959304505,-0.0,1.4120910249885401,1.3008680405281683,-1.5707963267948966,1.5707963267948966,0.01692456108596268,-0.0
0.01,-0.4420634913193607,0.027373032984152335,0.3194962278259067,0.018355507644373478,-0.0,1.4135578032526346,1.310373836572198,-1.5707963267948966,1.5707963267948966,0.017373032984152333,-0.0
0.01,-0.4613057058896979,0.03044862488029,0.3087644203826747,0.009743850335188008,-0.0,1.4154671989006313,1.3061755124906957,-1.5707963267948966,1.5707963267948966,0.02044862488029,-0.0
0.01,-0.4781616247750284,0.03073617808125697,0.30480304607577585,0.008938701372480491,-0.0,1.4166431782026712,1.3059678994056063,-1.5707963267948966,1.5707963267948966,0.02073617808125697,-0.0
0.01,-0.4690164210068326,0.0268693329778575,0.2914338819696959,0.26621803271314964,-0.0,1.417460629901521,1.297413145361935,-1.5707963267948966,1.5707963267948966,0.0168693329778575,-0.0
0.01,-0.4561000515652009,0.021352018550864597,0.36578727287631413,0.44660037455233353,-0.0,1.4179172509440792,1.3198130886694368,-1.5707963267948966,1.5707963267948966,0.011352018550864599,-0.0
0.01,-0.4505090065806796,0.019551445245931595,0.336690183817959,0.517107510994933,-0.0,1.4180199863108212,1.3236685752999686,-1.5707963267948966,1.5707963267948966,0.009551445245931597,-0.0
0.01,-0.4439098354280029,0.01598246050494993,0.3459469040454323,0.4837811192451358,-0.0,1.416219615254358,1.3282635451240823,-1.5707963267948966,1.5707963267948966,0.005982460504949929,-0.0
0.01,-0.438070322178634,0.015012843166428938,0.3487226935976929,0.47115532457811554,-0.0,1.4156147576115108,1.332173672759877,-1.5707963267948966,1.5707963267948966,0.005012843166428937,-0.0
0.01,-0.439471911234978,0.014317637631627978,0.35523248127236406,0.24091022845515206,-0.0,1.4137080798714716,1.333885057847292,-1.5707963267948966,1.5707963267948966,0.004317637631627978,-0.0
0.01,-0.42033813494779615,0.016931106156065474,0.3616603338905737,-0.11499109488978959,-0.0,1.4092203959855611,1.3336719234862526,-1.5707963267948966,1.5707963267948966,0.006931106156065476,-0.0
0.01,-0.43123947513976774,0.018272462000282538,0.3651009979082243,-0.4033825881083012,-0.0,1.4049654479058646,1.3335910161355229,-1.5707963267948966,1.5707963267948966,0.008272462000282537,-0.0
0.01,-0.43141534452021074,0.02283022796508574,0.36820472629588175,-0.6098191175741408,-0.0,1.4039034716933352,1.334558390644432,-1.5707963267948966,1.5707963267948966,0.012830227965085738,-0.0
0.01,-0.4350400879994328,0.022683570590894528,0.37435664801449553,-0.6346436245571441,-0.0,1.401312361132539,1.335407317141759,-1.5707963267948966,1.5707963267948966,0.01268357059089453,-0.0
0.01,-0.43570817802072576,0.02334221313915223,0.40378086682294306,-0.5096804866030492,-0.0,1.4001432474636104,1.3346068055988942,-1.5707963267948966,1.5707963267948966,0.013342213139152228,-0.0
0.01,-0.43606549491909397,0.022771976875000037,0.4124254460525009,-0.33469792170157947,-0.0,1.3993428754509492,1.334382189812672,-1.5707963267948966,1.5707963267948966,0.012771976875000039,-0.0
0.01,-0.4352502886371176,0.021067528810832088,0.42684856460171183,0.03601091932967016,-0.0,1.39851709973181,1.3351081349820633,-1.5707963267948966,1.5707963267948966,0.011067528810832087,-0.0
0.01,-0.4357191011301291,0.01957116903334868,0.43714872375279784,0.2230704299475376,-0.0,1.3981808576516324,1.3346555518284118,-1.5707963267948966,1.5707963267948966,0.00957116903334868,-0.0
0.01,-0.4397364584555085,0.019188520067386815,0.4412790251668955,0.30340658637241036,-0.0,1.398127988768244,1.3330688364255194,-1.5707963267948966,1.5707963267948966,0.009188520067386815,-0.0
0.01,-0.4443566549811025,0.019010863638656547,0.44388113073327834,0.29599858681501734,-0.0,1.3983673093036617,1.333359950434781,-1.5707963267948966,1.5707963267948966,0.009010863638656547,-0.0
0.01,-0.43705300578318035,0.01955499104312708,0.44335651975064766,0.25140860011662325,-0.0,1.3984205272529455,1.333261701292331,-1.5707963267948966,1.5707963267948966,0.00955499104312708,-0.0
0.01,-0.43769078400068656,0.019769898987528102,0.44272936842022376,0.03964428283492133,-0.0,1.397793638637435,1.336783478841941,-1.5707963267948966,1.5707963267948966,0.0097698989875281,-0.0
0.01,-0.4382467622986611,0.024525890768978213,0.44305007240889627,-0.25647646810508123,-0.0,1.3966875118473117,1.3368006922027789,-1.5707963267948966,1.5707963267948966,0.014525890768978212,-0.0
0.1756905264083323,-0.4566222682910031,0.027559953301987482,0.44343182049652313,-0.4934011326071384,-0.0,1.3951058003865642,1.338307776114987,-1.5707963267948966,1.5707963267948966,0.017559953301987483,-0.0
0.17629655919722093,-0.4654305482970464,0.028235271299158468,0.43851079931559733,-0.6407142581324716,-0.0,1.3944997675976756,1.3382145682895699,-1.5707963267948966,1.5707963267948966,0.018235271299158466,-0.0
0.17772426963557134,-0.4825107847256112,0.028311317515499132,0.442958584008837,-0.6458438669982589,-0.0,1.3930720571593258,1.3370932864491283,-1.5707963267948966,1.5707963267948966,0.018311317515499134,-0.0
0.1783335763675908,-0.49207134567406063,0.02858151285236535,0.4456759836231726,-0.6127881933352642,-0.0,1.3924627504273062,1.3380427594603916,-1.5707963267948966,1.5707963267948966,0.01858151285236535,-0.0
0.17939931781079527,-0.5074185965478987,0.030302729519088037,0.4457393367734633,-0.5539862758630641,-0.0,1.3913970089841021,1.3401338532432125,-1.5707963267948966,1.5707963267948966,0.020302729519088035,-0.0
0.18007434623725063,-0.5143705274974063,0.030132815850808778,0.4453589792412965,0.010628115617735426,-0.0,1.3907219805576456,1.3413381575428234,-1.5707963267948966,1.5707963267948966,0.02013281585080878,-0.0
0.18095265898597987,-0.5235572242431098,0.02999970377148365,0.4461536149206313,0.011000829439845781,-0.0,1.3898436678089163,1.3448868799592282,-1.5707963267948966,1.5707963267948966,0.019999703771483652,-0.0
0.18122553058133953,-0.5485750878905631,0.028752147974727735,0.4557087420829809,0.2673283416188891,-0.0,1.3895707962135575,1.3457618707118475,-1.5707963267948966,1.5707963267948966,0.018752147974727736,-0.0
0.18165541996272705,-0.5533139288417153,0.028927732638971942,0.44543131913983114,0.29793224355266246,-0.0,1.3891409068321696,1.3462636298589246,-1.5707963267948966,1.5707963267948966,0.018927732638971944,-0.0
0.18211974681262516,-0.5700691260023693,0.02900363431397234,0.4420467464525321,0.29778554215517017,-0.0,1.388676579982271,1.347695191574127,-1.5707963267948966,1.5707963267948966,0.01900363431397234,-0.0
0.18339436597498707,-0.5730370865733184,0.029577038369298793,0.436395569260884,0.2511594169041035,-0.0,1.3874019608199097,1.3485353479884572,-1.5707963267948966,1.5707963267948966,0.019577038369298794,-0.0
0.1838239711041348,-0.5817472869452294,0.030858759199725888,0.43454089924374095,0.008595474240767516,-0.0,1.3869723556907618,1.3491866929228051,-1.5707963267948966,1.5707963267948966,0.02085875919972589,-0.0
0.18385768149894716,-0.5848157776370932,0.034641501129524625,0.43165579373021723,-0.2946427286577433,-0.0,1.386938645295949,1.3497949196521348,-1.5707963267948966,1.5707963267948966,0.024641501129524623,-0.0
0.18371503036524017,-0.5906504437295537,0.03564988058375985,0.4235189212919526,-0.4556999610275506,-0.0,1.387081296429656,1.3481938947212906,-1.5707963267948966,1.5707963267948966,0.02564988058375985,-0.0
0.18342097846941924,-0.5968000413611599,0.03666632839139877,0.4182813034623261,-0.535138937031508,-0.0,1.3873753483254776,1.3470214825320677,-1.5707963267948966,1.5707963267948966,0.026666328391398774,-0.0
0.18235935324443386,-0.5956609671154028,0.038729260455113455,0.41594834959842575,-0.5811877435513522,-0.0,1.3884369735504623,1.3455654405030384,-1.5707963267948966,1.5707963267948966,0.028729260455113457,-0.0
0.1819287540655388,-0.5992289332624979,0.04067488817089512,0.41002429324905376,-0.5786421243781661,-0.0,1.3888675727293573,1.3446369015649635,-1.5707963267948966,1.5707963267948966,0.030674888170895115,-0.0
