LShoulderRoll,LElbowRoll,RShoulderRoll,RElbowRoll,HeadYaw,HeadPitch,LShoulderPitch,RShoulderPitch,LElbowYaw,RElbowYaw,HipRoll,HipPitch
0.01,-0.08739425011152314,-0.22265997001472393,0.11376010977982895,-0.12123030346793916,0.0,1.4121987485831906,1.3457544747457506,-1.5707963267948966,1.5707963267948966,0.0023818820344220057,0.0
0.01,-0.12745337851303346,0.013222335873175138,0.16973417999595994,-0.12296079917898252,0.0,1.3922042849871907,1.3135055643168192,-1.5707963267948966,1.5707963267948966,0.0032223358731751374,0.0
0.01,-0.10980532183385051,0.015361919364519454,0.21824844523718576,-0.13804602224634957,0.0,1.405065459748824,1.279253188272767,-1.5707963267948966,1.5707963267948966,0.005361919364519454,0.0
0.01,-0.09216586286005594,0.013733790175449677,0.21254287467398053,-0.14234179421135812,0.0,1.4162811870286698,1.2841224310050086,-1.5707963267948966,1.5707963267948966,0.003733790175449676,-0.0
0.01,-0.08943609677875171,0.01353198118752912,0.21039777015612607,-0.15114999748430202,0.0,1.415129789298164,1.2876160817123081,-1.5707963267948966,1.5707963267948966,0.003531981187529118,-0.0
0.01,-0.08945421635877557,0.013714920379073656,0.20512815250778957,-0.15298962850774792,0.0,1.414675460589144,1.2927631530082067,-1.5707963267948966,1.5707963267948966,0.0037149203790736566,-0.0
0.01,-0.08773805877010227,0.014395620465950484,0.19844705974066282,-0.15629046119295012,0.0,1.4159206609001618,1.2982353954363277,-1.5707963267948966,1.5707963267948966,0.004395620465950485,-0.0
0.01,-0.0877137976160345,0.014934536966557324,0.1943467567418662,-0.15807638593053566,0.0,1.4166139066857317,1.301754557943804,-1.5707963267948966,1.5707963267948966,0.0049345369665573235,-0.0
0.01,-0.08865057330089778,0.01540482782434587,0.19443964298009947,-0.15950907502413172,0.0,1.417402554879145,1.3012963458263447,-1.5707963267948966,1.5707963267948966,0.00540482782434587,-0.0
0.01,-0.08793766259066246,0.015268855757097867,0.19287536928996268,-0.1666140143712603,-0.0,1.4180580909903755,1.3034779953747813,-1.5707963267948966,1.5707963267948966,0.005268855757097866,-0.0
0.01,-0.08389614395488872,0.014044262124543625,0.18651598376737574,-0.17592913664739446,-0.0,1.4192917823468623,1.3096604578193434,-1.5707963267948966,1.5707963267948966,0.004044262124543625,-0.0
